2645500113,孤独|悲伤,华语
2083785152,苦情|悲伤,国语
1303464858,思念|苦情|悲伤,国语
1301736461,浪漫|苦情|治愈|放松,国语
28403111,KTV|婚礼|放松|悲伤,国语
2124385868,抑郁|思念|苦情|孤独|悲伤,国语
1398283847,思念|苦情|KTV|悲伤,国语
1493976789,思念|浪漫|放松,国语
1842728629,治愈|孤独|悲伤,国语
1403318151,思念|悲伤,国语
1406649619,思念|治愈|酒吧|悲伤,国语
150432,苦情|KTV|悲伤,国语
26428032,抑郁|思念|浪漫|苦情|活力|治愈|孤独|放松,国语、英语
2149612361,甜蜜|思念|浪漫|治愈,国语
287063,思念|苦情|孤独|KTV|悲伤,国语
2166584564,悲伤|放松,国语
2604610899,孤独|KTV|狂欢,国语
64093,抑郁|苦情|学习|悲伤,国语
233882,治愈|悲伤,国语
25648006,浪漫|婚礼|放松|散步|自信,国语
2674443509,治愈|浪漫|甜蜜,国语
2071935674,抑郁|思念|治愈|悲伤,国语
2025186889,甜蜜|抑郁|思念|浪漫|苦情|治愈|孤独|放松|悲伤,国语
1406083061,苦情|酒吧|悲伤,国语
2619125556,治愈|KTV,华语
1890530891,浪漫|苦情|KTV|悲伤,国语
1320336229,思念|浪漫|平静,国语
1895330088,抑郁|思念|治愈|悲伤,国语
1413585838,抑郁|苦情|孤独|KTV|悲伤,国语
2674096278,苦情|孤独|悲伤,华语
33497050,思念|浪漫|悲伤,国语
1887139866,苦情|悲伤,国语
1903149553,治愈|KTV|悲伤,国语
2668124242,治愈|平静|自信,国语
108485,酒吧|放松,华语、英语
208940,KTV|放松,国语
287241,浪漫|放松|悲伤,国语
1397345903,抑郁|苦情|活力|治愈|KTV|酒吧|悲伤|有氧|家务,国语
4873540,甜蜜|浪漫|放松|欢快,国语
1369601580,甜蜜|浪漫|酒吧|欢快,国语
1807799505,浪漫|酒吧|悲伤,国语
1359356908,苦情|酒吧|平静|悲伤,国语
1436117704,苦情|孤独|悲伤,华语
1926623288,苦情|KTV|悲伤,国语
2063864551,思念|悲伤,国语
543798652,抑郁|苦情|孤独|悲伤,国语
30612793,思念|治愈|孤独|酒吧|悲伤,国语
529668356,抑郁|苦情|酒吧|平静|悲伤,国语
1482867143,浪漫|治愈|KTV|放松,国语
2018733994,抑郁|思念|悲伤,国语
488249475,思念|治愈|孤独|悲伤,国语、英语
65766,抑郁|苦情|悲伤,粤语
208902,甜蜜|浪漫|活力|治愈|KTV|酒吧|悲伤,国语
2637558926,狂欢|欢快|放松|婚礼|自信|旅游|KTV|活力,英语、韩语
2659565914,悲伤|思念|放松,华语
